pickup_location_id,pickup_latitude,pickup_longitude
1,40.76515198,-73.97674561
2,40.76792526,-73.98348236
3,40.64480972,-73.78202057
4,40.76981354,-73.86341858
5,40.79218292,-73.97174072
6,40.7053833,-74.01719666
7,40.64775848,-73.78877258
8,40.76464081,-73.95822144
9,40.74119186,-73.98577881
10,40.79742813,-73.96981812
11,40.7881279,-73.95380402
12,40.75217056,-73.97608948
13,40.71912003,-74.00206757
14,40.73071671,-74.00672913
15,40.7166214,-74.00661469
16,40.77061844,-73.98226929
17,40.64503098,-73.79238892
18,40.73189163,-73.98378754
19,40.73856354,-73.99941254
20,40.7711792,-73.86585999
21,40.76165009,-73.96642303
22,40.75711823,-73.98986816
23,40.74290085,-73.98406982
24,40.72746277,-74.00041962
25,40.75765228,-73.99080658
26,40.78703308,-73.97548676
27,40.64701843,-73.78941345
28,40.73730087,-73.98112488
29,40.7497139,-73.99230194
30,40.70626831,-74.0079422
31,40.76890945,-73.95465851
32,40.79033279,-73.96561432
33,40.75569153,-73.98728943
34,40.75626373,-73.98183441
35,40.78277206,-73.95122528
36,40.75618362,-73.98300934
37,40.7216835,-73.98862457
38,40.74918747,-73.99179077
39,40.73867035,-73.99591827
40,40.76414108,-73.95418549
41,40.65494919,-73.96170044
42,40.7189064,-73.9890213
43,40.75152588,-73.97113037
44,40.76169586,-73.98197174
45,40.79098129,-73.96903992
46,40.74058151,-73.99842834
47,40.74040985,-74.00578308
48,40.7205162,-73.98713684
49,40.76246643,-73.97879028
50,40.75724411,-73.9825058
51,40.70807266,-74.01290131
52,40.79089355,-73.96903992
53,40.75860977,-73.98222351
54,40.74930954,-74.00289917
55,40.75759888,-73.98590851
56,40.75899887,-73.99240112
57,40.76818848,-73.98390198
58,40.75659943,-73.99774933
59,40.76678848,-73.98654175
60,40.75561523,-73.98704529
61,40.72500229,-73.99542999
62,40.72537231,-73.99212646
63,40.64771652,-73.78942871
64,40.77368927,-73.87077332
65,40.7141304,-73.95204926
66,40.75608444,-73.97259521
67,40.74035263,-74.0059433
68,40.76193619,-73.9900589
69,40.75598907,-73.97267151
70,40.74975204,-73.97994995
71,40.74505615,-73.98271942
72,40.77450943,-73.87252045
73,40.72058105,-73.98957825
74,40.75928116,-73.97259521
75,40.74233246,-74.0061264
76,40.77402115,-73.87443542
77,40.76699829,-73.96793365
78,40.7741127,-73.87453461
79,40.7783165,-73.94833374
80,40.73498917,-73.99053192
81,40.72309875,-73.98603821
82,40.67628479,-73.98059082
83,40.72105026,-74.01022339
84,40.72293091,-73.98274231
85,40.72338104,-73.99111176
86,40.76673889,-73.91590118
87,40.71789932,-74.0058136
88,40.76068878,-73.98741913
89,40.74217987,-73.98301697
90,40.76136017,-73.96698761
91,40.72186661,-73.98740387
92,40.75227356,-73.97839355
93,40.75590515,-73.97275543
94,40.60926056,-74.65130615
95,40.7412262,-73.9866333
96,40.74684143,-73.98587799
97,40.75181961,-73.97080994
98,40.76174545,-73.97491455
99,40.76053619,-73.97598267
100,40.75098801,-73.97419739
101,40.81066132,-73.95240784
102,40.78363037,-73.95482635
103,40.78583908,-73.97641754
104,40.80332947,-73.95626068
105,40.75708771,-73.98860168
106,40.75059509,-73.97509003
107,40.79274368,-73.94594574
108,40.73735428,-73.98848724
109,40.7431221,-73.97399902
110,40.7000351,-73.98757935
111,40.75999069,-73.99621582
112,40.72496796,-73.9988327
113,40.75304031,-73.97748566
114,40.71933365,-74.01016998
115,40.76193619,-73.98661041
116,40.76403046,-73.97314453
117,40.72010803,-73.99399567
118,40.76304245,-73.98197937
119,40.74817276,-74.00792694
120,40.79489136,-73.97218323
121,40.75355148,-73.97393799
122,40.75334167,-73.97753143
123,40.68385696,-73.97672272
124,40.75767136,-73.97499847
125,40.75219345,-73.97740936
126,40.74011993,-74.00601196
127,40.65682983,-73.79316711
128,40.76277924,-73.9786377
129,40.64365005,-73.78993225
130,40.75959015,-73.97323608
131,40.77960968,-73.95195007
132,40.75677109,-73.97566986
133,40.64403915,-73.79023743
134,40.73789978,-73.98733521
135,40.72977829,-73.9969635
136,40.72639465,-73.99159241
137,40.74924088,-73.98856354
138,40.74422073,-73.98783875
139,40.75964737,-73.98805237
140,40.74190521,-73.98555756
141,40.80819702,-73.96387482
142,40.75336838,-73.97466278
143,40.78847504,-73.97673035
144,40.72389603,-73.99118805
145,40.76170349,-73.98664093
146,40.64477158,-73.78217316
147,40.7578125,-73.97136688
148,40.74473953,-73.98297882
149,40.75896835,-73.96846771
150,40.76015854,-73.97588348
151,40.74994278,-73.99207306
152,40.7593689,-73.96805573
153,40.72190094,-73.99978638
154,40.84545898,-73.93865967
155,40.77000809,-73.9625473
156,40.76211166,-73.97431183
157,40.77379227,-73.87437439
158,40.79460526,-73.94454956
159,40.73506165,-73.99138641
160,40.71707535,-73.99156952
161,40.73038864,-73.98426819
162,40.75825119,-73.96935272
163,40.75323868,-73.97924042
164,40.72288132,-73.98872375
165,40.74900055,-73.99185944
166,40.75556946,-73.98748016
167,40.74832153,-74.00754547
168,40.64554977,-73.77679443
169,40.76298141,-73.97843933
170,40.75537491,-73.9870224
171,40.74898911,-73.9881897
172,40.72240067,-73.9801178
173,40.73535919,-73.99841309
174,40.71654129,-74.01515961
175,40.76541901,-73.91806793
176,40.75871658,-73.99602509
177,40.75933838,-73.98664856
178,40.78348541,-73.95274353
179,40.7783165,-73.95843506
180,40.75610733,-73.99033356
181,40.72818375,-73.98806763
182,40.77195358,-73.94994354
183,40.78031158,-73.94476318
184,40.80044174,-73.96199799
185,40.74002457,-73.9822998
186,40.70938873,-74.01773071
187,40.75152206,-73.97668457
188,40.77595901,-73.98742676
189,40.75496674,-73.97806549
190,40.74686813,-74.00424957
191,40.72288513,-73.9858017
192,40.73315048,-73.99581146
193,40.76924133,-73.9855423
194,40.7416687,-73.99739075
195,40.7807312,-73.9813385
196,40.80334091,-73.95278168
197,40.73992157,-73.99880219
198,40.74921036,-73.99138641
199,40.75281143,-73.98137665
200,40.76500702,-73.98345947
201,40.73366165,-74.00624847
202,40.74596786,-73.91226959
203,40.74877167,-74.00466156
204,40.73890686,-73.98287201
205,40.78274918,-73.97502136
206,40.73104095,-73.98881531
207,40.77405167,-73.95759583
208,40.82306671,-73.94926453
209,40.74383926,-73.97936249
210,40.79787827,-73.97126007
211,40.72942352,-73.99180603
212,40.75048828,-73.99093628
213,40.75697708,-73.96304321
214,40.70582962,-74.00637817
215,40.64341736,-73.78924561
216,40.74388123,-73.97659302
217,40.77145004,-73.97949219
218,40.77618027,-73.97985077
219,40.73731613,-73.99677277
220,40.76689911,-73.95301819
221,40.75517654,-73.97376251
222,40.80514908,-73.93955994
223,40.77118301,-73.86629486
224,40.73128891,-74.00669098
225,40.75933075,-73.96524811
226,40.7406311,-73.97894287
227,40.75590897,-73.97688293
228,40.64484787,-73.78180695
229,40.74676895,-73.98577118
230,40.7379303,-74.0045166
231,40.75561905,-73.96192932
232,40.81669235,-73.94300079
233,40.75187302,-73.99365997
234,40.75398636,-73.96914673
235,40.72141266,-73.84340668
236,40.75542831,-73.99121094
237,40.75126648,-73.98673248
238,40.64440536,-73.97418976
239,40.76956177,-73.9848175
240,40.72434616,-73.99247742
241,40.76760101,-73.955513
242,40.75558853,-73.9911499
243,40.72630692,-73.99601746
244,40.73579788,-73.98974609
245,40.7447319,-73.99889374
246,40.68706512,-73.99021149
247,40.77603149,-73.97955322
248,40.7845993,-73.98087311
249,40.74465942,-73.97619629
250,40.75585175,-73.97737885
251,40.7154808,-74.00785828
252,40.74158859,-73.95033264
253,40.78176117,-73.98091125
254,40.79216385,-73.97394562
255,40.76098251,-73.97785187
256,40.75157928,-73.99388885
257,40.79698181,-73.97124481
258,40.7559166,-73.99005127
259,40.75834656,-73.96605682
260,40.78771973,-73.94136047
261,40.77700043,-73.95558929
262,40.77515411,-73.96071625
263,40.76987839,-73.95775604
264,40.74765778,-73.98946381
265,40.75125885,-73.99401855
266,40.7364769,-73.99329376
267,40.76340866,-73.98322296
268,40.70663071,-74.00280762
